building_count,total_risk,grid_id,grid_bounds,avg_risk
69.0,18.7794851959,520,"[[42.320153034000022, -83.138015000000024], [42.320153034000022, -83.130427000000026], [42.326641632300024, -83.130427000000026], [42.326641632300024, -83.138015000000024]]",0.272166452114
76.0,24.3134450018,521,"[[42.320153034000022, -83.130427000000026], [42.320153034000022, -83.122839000000027], [42.326641632300024, -83.122839000000027], [42.326641632300024, -83.130427000000026]]",0.319913750024
99.0,29.7494201064,522,"[[42.320153034000022, -83.122839000000027], [42.320153034000022, -83.115251000000029], [42.326641632300024, -83.115251000000029], [42.326641632300024, -83.122839000000027]]",0.300499192994
67.0,23.6089187264,523,"[[42.320153034000022, -83.115251000000029], [42.320153034000022, -83.107663000000031], [42.326641632300024, -83.107663000000031], [42.326641632300024, -83.115251000000029]]",0.35237192129
143.0,44.0238467753,524,"[[42.320153034000022, -83.107663000000031], [42.320153034000022, -83.100075000000032], [42.326641632300024, -83.100075000000032], [42.326641632300024, -83.107663000000031]]",0.307859068359
173.0,53.8744323552,525,"[[42.320153034000022, -83.100075000000032], [42.320153034000022, -83.092487000000034], [42.326641632300024, -83.092487000000034], [42.326641632300024, -83.100075000000032]]",0.311412903787
219.0,63.8926080763,526,"[[42.320153034000022, -83.092487000000034], [42.320153034000022, -83.084899000000036], [42.326641632300024, -83.084899000000036], [42.326641632300024, -83.092487000000034]]",0.291747068842
76.0,20.3326859474,527,"[[42.320153034000022, -83.084899000000036], [42.320153034000022, -83.077311000000037], [42.326641632300024, -83.077311000000037], [42.326641632300024, -83.084899000000036]]",0.267535341413
76.0,21.5742152333,528,"[[42.320153034000022, -83.077311000000037], [42.320153034000022, -83.069723000000039], [42.326641632300024, -83.069723000000039], [42.326641632300024, -83.077311000000037]]",0.28387125307
75.0,18.5820321739,529,"[[42.320153034000022, -83.069723000000039], [42.320153034000022, -83.06213500000004], [42.326641632300024, -83.06213500000004], [42.326641632300024, -83.069723000000039]]",0.247760428985
71.0,9.0384350717,530,"[[42.320153034000022, -83.06213500000004], [42.320153034000022, -83.054547000000042], [42.326641632300024, -83.054547000000042], [42.326641632300024, -83.06213500000004]]",0.127301902418
26.0,3.0105625391,531,"[[42.320153034000022, -83.054547000000042], [42.320153034000022, -83.046959000000044], [42.326641632300024, -83.046959000000044], [42.326641632300024, -83.054547000000042]]",0.115790866888
10.0,0.846857428551,532,"[[42.320153034000022, -83.046959000000044], [42.320153034000022, -83.039371000000045], [42.326641632300024, -83.039371000000045], [42.326641632300024, -83.046959000000044]]",0.0846857428551
